employee_id,name,address,city,postal_code,latitude,longitude,snapped_latitude,snapped_longitude,optimal_employee_station,optimal_employee_station_id,optimal_employee_station_rank,optimal_office_station,optimal_office_station_id,optimal_office_station_rank,walk_home_to_station_min,transit_time_min,walk_station_to_office_min,total_commute_min,otp_route_found,car_distance_m,car_driving_time_min,car_parking_time_min,car_total_time_min,commute_time_bucket,transport_attractiveness,monthly_driving_cost,financial_attractiveness_Company Pays Full,financial_attractiveness_50% Subsidy,financial_attractiveness_Employee Pays Full,adoption_score_Company Pays Full,adoption_score_50% Subsidy,adoption_score_Employee Pays Full,employee_station,employee_station_id,employee_station_rank,office_station,office_station_id,office_station_rank,transit_time_morning_min,walk_office_to_station_min,transit_time_evening_min,walk_station_to_home_min,morning_journey_min,evening_journey_min
EMP011,Piotr Biggen,"Säuberlichstraße 93/82, 22626 Ahrensburg",Ahrensburg,22626,53.552934,9.849891,53.552898,9.849976,Nienstedtener Marktplatz,335139767.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.92,49.0,3.7066666666666666,115.25333333333332,True,22958.2,39.18833333333334,8,47.18833333333334,90-120 min,50.0,187.7492,5,5,5,32.0,32.0,32.0,Nienstedtener Marktplatz,335139767.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,49.0,3.7066666666666666,49.0,4.92,57.626666666666665,57.626666666666665
EMP012,Lilli Mosemann-Rädel,"Gerhardt-Schottin-Platz 2-7, 20355 Hamburg",Hamburg,20355,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,84.63,True,14719.4,31.45,8,39.45,60-90 min,60.0,138.3164,5,5,4,38.0,38.0,37.6,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,32.0,3.7066666666666666,29.0,8.108333333333333,43.815,40.815
EMP013,Paola Segebahn,"Röhrdanzallee 1, 22880 Wedel",Wedel,22880,53.51464,9.989696,53.514711,9.989895,Vogelhüttendeich,410242670.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,3.385,44.7,3.7066666666666666,101.88333333333333,True,31645.4,48.580000000000005,8,56.580000000000005,90-120 min,90.0,239.8724,5,5,5,56.0,56.0,56.0,Vogelhüttendeich,410242670.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,44.7,3.7066666666666666,43.0,3.385,51.791666666666664,50.09166666666666
EMP014,Winfried Ullmann,"Dowergring 3-8, 20095 Hamburg",Hamburg,20095,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,84.63,True,14719.4,31.45,8,39.45,60-90 min,60.0,138.3164,5,5,4,38.0,38.0,37.6,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,32.0,3.7066666666666666,29.0,8.108333333333333,43.815,40.815
EMP015,Cornelius Köster B.A.,"Ottoallee 581, 21682 Buxtehude",Buxtehude,21682,53.620093,10.033335,53.620019,10.033388,U S Ohlsdorf (Fuhlsbüttler Straße),354479872.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.8766666666666667,14.0,3.7066666666666666,34.166666666666664,True,8747.8,19.94,8,27.94,0-60 min,100.0,102.48679999999999,5,4,3,62.0,61.6,61.2,U S Ohlsdorf (Fuhlsbüttler Straße),354479872.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,14.0,3.7066666666666666,11.0,0.8766666666666667,18.583333333333332,15.583333333333334
EMP016,Susann Jäntsch,"Dorina-Junitz-Straße 1, 22457 Hamburg",Hamburg,22457,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,84.63,True,14719.4,31.45,8,39.45,60-90 min,60.0,138.3164,5,5,4,38.0,38.0,37.6,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,32.0,3.7066666666666666,29.0,8.108333333333333,43.815,40.815
EMP017,Raimund Reichmann,"Bogdan-Hendriks-Weg 81, 20251 Hamburg",Hamburg,20251,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,84.63,True,14719.4,31.45,8,39.45,60-90 min,60.0,138.3164,5,5,4,38.0,38.0,37.6,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,32.0,3.7066666666666666,29.0,8.108333333333333,43.815,40.815
EMP018,Vito Reuter B.A.,"Fernando-Sorgatz-Straße 748, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,160.5533333333333,True,31773.1,44.836666666666666,8,52.836666666666666,120+ min,30.0,240.6386,5,5,5,20.0,20.0,20.0,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.0,3.7066666666666666,72.0,4.569999999999999,80.27666666666666,80.27666666666666
EMP019,Dr. Anton Kambs B.Sc.,"Kuhlweg 87/28, 21614 Buxtehude",Buxtehude,21614,53.55512,9.929705,53.555345,9.929873,Hohenesch,5496304542.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,3.4099999999999997,32.8,3.7066666666666666,85.83333333333331,True,18783.5,32.538333333333334,8,40.538333333333334,60-90 min,70.0,162.701,5,5,4,44.0,44.0,43.6,Fabrik,3590363652.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,32.8,3.7066666666666666,38.8,3.4099999999999997,39.91666666666666,45.91666666666666
EMP020,Torsten Beckmann,"Dajana-Hartmann-Gasse 40, 21073 Harburg",Harburg,21073,53.452194,9.897592,53.452166,9.898249,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.72,56.9,6.403333333333333,149.94666666666666,True,38831.6,51.986666666666665,8,59.986666666666665,120+ min,40.0,282.9896,5,5,5,26.0,26.0,26.0,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Heidehofweg (West)",12461266488.0,5.0,57.9,6.403333333333333,65.8,6.72,71.02333333333334,78.92333333333333
EMP021,Otfried Rudolph-Rust,"Boucseinstr. 9473, 22626 Ahrensburg",Ahrensburg,22626,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,5,5,5,,,,,,,,,,,,,,,
EMP022,Ing. Hildegart Langern,"Henkallee 26-23, 22627 Ahrensburg",Ahrensburg,22627,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,5,5,5,,,,,,,,,,,,,,,
EMP023,Ria Dörr,"Vollbrechtgasse 70, 22880 Wedel",Wedel,22880,53.544142,9.976497,53.54422,9.976563,Rambachstraße,9460477322.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.9316666666666666,32.0,3.7066666666666666,73.27666666666666,True,18870.2,41.59,8,49.59,60-90 min,100.0,163.2212,5,5,5,62.0,62.0,62.0,Rambachstraße,9460477322.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,32.0,3.7066666666666666,32.0,0.9316666666666666,36.63833333333333,36.63833333333333
EMP024,Elfie Bruder MBA.,"Hans-Joachim-Grein Groth-Weg 32-56, 22627 Ahrensburg",Ahrensburg,22627,53.366065,10.220389,53.366065,10.22039,Riepenburg,332611805.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,105.795,72.6,3.7066666666666666,356.7033333333333,True,58437.8,61.11333333333334,8,69.11333333333334,120+ min,0.0,400.6268,5,5,5,2.0,2.0,2.0,Riepenburg,332611805.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.6,3.7066666666666666,65.1,105.795,182.10166666666663,174.60166666666666
EMP025,Dr. Hansjürgen Neureuther MBA.,"Bernard-Siering-Weg 1, 21079 Harburg",Harburg,21079,53.452194,9.897592,53.452166,9.898249,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.72,56.9,6.403333333333333,149.94666666666666,True,38831.6,51.986666666666665,8,59.986666666666665,120+ min,40.0,282.9896,5,5,5,26.0,26.0,26.0,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Heidehofweg (West)",12461266488.0,5.0,57.9,6.403333333333333,65.8,6.72,71.02333333333334,78.92333333333333
EMP026,Ursula Ziegert,"Nina-Kühnert-Gasse 760, 22854 Norderstedt",Norderstedt,22854,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,4,3,3,,,,,,,,,,,,,,,
EMP027,Klaus Wähner,"Hörlestraße 52-43, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,160.5533333333333,True,31773.1,44.836666666666666,8,52.836666666666666,120+ min,30.0,240.6386,5,5,5,20.0,20.0,20.0,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.0,3.7066666666666666,72.0,4.569999999999999,80.27666666666666,80.27666666666666
EMP028,Prof. Trudi Radisch B.A.,"Karen-Johann-Gasse 9, 21107 Harburg",Harburg,21107,53.452194,9.897592,53.452166,9.898249,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.72,56.9,6.403333333333333,149.94666666666666,True,38831.6,51.986666666666665,8,59.986666666666665,120+ min,40.0,282.9896,5,5,5,26.0,26.0,26.0,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Heidehofweg (West)",12461266488.0,5.0,57.9,6.403333333333333,65.8,6.72,71.02333333333334,78.92333333333333
EMP029,Dipl.-Ing. Bruno Roskoth B.A.,"Victoria-Pechel-Gasse 219, 22626 Ahrensburg",Ahrensburg,22626,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,5,5,5,,,,,,,,,,,,,,,
EMP030,Heidelinde Eigenwillig,"Elly-Butte-Straße 64/43, 21614 Buxtehude",Buxtehude,21614,53.490193,9.761105,53.490427,9.761102,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.0916666666666666,73.5,3.7066666666666666,148.29666666666668,True,40302.7,61.83166666666667,8,69.83166666666668,120+ min,70.0,291.8162,5,5,5,44.0,44.0,44.0,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,73.5,3.7066666666666666,67.2,0.0916666666666666,77.29833333333333,70.99833333333333
EMP031,Arndt Renner,"Mielcarekring 80, 21614 Buxtehude",Buxtehude,21614,53.488671,9.664988,53.488641,9.665123,,,,,,,,,,,False,50451.6,70.48833333333333,8,78.48833333333333,No route,,352.70959999999997,5,5,5,,,,,,,,,,,,,,,
EMP032,Dipl.-Ing. Serge Ring,"Amalie-Hettner-Platz 61/53, 22846 Norderstedt",Norderstedt,22846,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,4,3,3,,,,,,,,,,,,,,,
EMP033,Valentina Spieß,"Schmidtkeallee 8, 22856 Norderstedt",Norderstedt,22856,53.466807,9.984808,53.466792,9.984903,Kanalplatz,515627074.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.7183333333333334,52.7,3.7066666666666666,108.05,True,33677.3,48.01166666666666,8,56.01166666666666,90-120 min,90.0,252.0638,5,5,5,56.0,56.0,56.0,Kanalplatz,515627074.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,52.7,3.7066666666666666,46.5,0.7183333333333334,57.125,50.925
EMP034,Franz-Peter Holzapfel-Schleich,"Tatjana-Eimer-Ring 91, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,160.5533333333333,True,31773.1,44.836666666666666,8,52.836666666666666,120+ min,30.0,240.6386,5,5,5,20.0,20.0,20.0,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.0,3.7066666666666666,72.0,4.569999999999999,80.27666666666666,80.27666666666666
EMP035,Thekla Birnbaum,"Iris-Karz-Platz 9/8, 22629 Ahrensburg",Ahrensburg,22629,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,5,5,5,,,,,,,,,,,,,,,
EMP036,Patricia Ehlert,"Evelyn-Löchel-Ring 0, 21077 Harburg",Harburg,21077,53.452194,9.897592,53.452166,9.898249,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.72,56.9,6.403333333333333,149.94666666666666,True,38831.6,51.986666666666665,8,59.986666666666665,120+ min,40.0,282.9896,5,5,5,26.0,26.0,26.0,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Heidehofweg (West)",12461266488.0,5.0,57.9,6.403333333333333,65.8,6.72,71.02333333333334,78.92333333333333
EMP037,Arnfried Stumpf,"Fritschweg 98-16, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,160.5533333333333,True,31773.1,44.836666666666666,8,52.836666666666666,120+ min,30.0,240.6386,5,5,5,20.0,20.0,20.0,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.0,3.7066666666666666,72.0,4.569999999999999,80.27666666666666,80.27666666666666
EMP038,Gretel Benthin,"Belinda-Beier-Ring 162, 21682 Buxtehude",Buxtehude,21682,53.490193,9.761105,53.490427,9.761102,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.0916666666666666,73.5,3.7066666666666666,148.29666666666668,True,40302.7,61.83166666666667,8,69.83166666666668,120+ min,70.0,291.8162,5,5,5,44.0,44.0,44.0,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,73.5,3.7066666666666666,67.2,0.0916666666666666,77.29833333333333,70.99833333333333
EMP039,Vincenzo Hellwig-Fröhlich,"Häringweg 7158, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,160.5533333333333,True,31773.1,44.836666666666666,8,52.836666666666666,120+ min,30.0,240.6386,5,5,5,20.0,20.0,20.0,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.0,3.7066666666666666,72.0,4.569999999999999,80.27666666666666,80.27666666666666
EMP040,Catharina Zirme,"Ramona-Lehmann-Gasse 456, 21614 Buxtehude",Buxtehude,21614,53.490193,9.761105,53.490427,9.761102,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.0916666666666666,73.5,3.7066666666666666,148.29666666666668,True,40302.7,61.83166666666667,8,69.83166666666668,120+ min,70.0,291.8162,5,5,5,44.0,44.0,44.0,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,73.5,3.7066666666666666,67.2,0.0916666666666666,77.29833333333333,70.99833333333333
EMP041,Dr. Aleksander Sorgatz B.A.,"Ralph-Bender-Straße 5375, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,160.5533333333333,True,31773.1,44.836666666666666,8,52.836666666666666,120+ min,30.0,240.6386,5,5,5,20.0,20.0,20.0,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.0,3.7066666666666666,72.0,4.569999999999999,80.27666666666666,80.27666666666666
EMP042,Mariola Reising-Kabus,"Jüttnerring 64, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,160.5533333333333,True,31773.1,44.836666666666666,8,52.836666666666666,120+ min,30.0,240.6386,5,5,5,20.0,20.0,20.0,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.0,3.7066666666666666,72.0,4.569999999999999,80.27666666666666,80.27666666666666
EMP043,Ing. Monika Zimmer,"Erhard-Heß-Platz 1/2, 22855 Norderstedt",Norderstedt,22855,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,4,3,3,,,,,,,,,,,,,,,
EMP044,Angela Trommler,"Mälzerstr. 46, 21035 Hamburg",Hamburg,21035,53.456041,9.971332,53.456041,9.971332,Eißendorfer Straße (TU Hamburg),5686864205.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,7.180000000000001,49.7,3.7066666666666666,117.97333333333331,True,38722.7,50.041666666666664,8,58.041666666666664,90-120 min,60.0,282.33619999999996,5,5,5,38.0,38.0,38.0,Eißendorfer Straße (TU Hamburg),5686864205.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,49.7,3.7066666666666666,46.5,7.180000000000001,60.586666666666666,57.38666666666666
EMP045,Mariana Ebert,"Ackermannstr. 6561, 22880 Wedel",Wedel,22880,53.561761,10.018583,53.561761,10.018583,Graumannsweg,10718408319.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,1.8683333333333332,35.0,3.7066666666666666,84.14999999999999,True,16220.5,34.138333333333335,8,42.138333333333335,60-90 min,90.0,147.323,5,5,4,56.0,56.0,55.6,Graumannsweg,10718408319.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,35.0,3.7066666666666666,38.0,1.8683333333333332,40.575,43.575
EMP046,Kreszentia Eckbauer,"Patbergring 6-7, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,160.5533333333333,True,31773.1,44.836666666666666,8,52.836666666666666,120+ min,30.0,240.6386,5,5,5,20.0,20.0,20.0,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.0,3.7066666666666666,72.0,4.569999999999999,80.27666666666666,80.27666666666666
EMP047,Klothilde Ackermann-Jähn,"Siegmar-Stadelmann-Straße 599, 20251 Hamburg",Hamburg,20251,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,84.63,True,14719.4,31.45,8,39.45,60-90 min,60.0,138.3164,5,5,4,38.0,38.0,37.6,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,32.0,3.7066666666666666,29.0,8.108333333333333,43.815,40.815
EMP048,Univ.Prof. Christa-Maria Sorgatz B.Sc.,"Häringstraße 87/47, 22880 Wedel",Wedel,22880,53.545322,9.9871,53.545346,9.986892,Auf dem Sande (Speicherstadt),1706051747.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.2733333333333325,30.0,3.7066666666666666,75.96,True,18466.1,39.82,8,47.82,60-90 min,100.0,160.79659999999998,5,5,4,62.0,62.0,61.6,Auf dem Sande (Speicherstadt),1706051747.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,30.0,3.7066666666666666,30.0,4.2733333333333325,37.98,37.98
EMP049,Claus-Dieter Barth B.Sc.,"Pieperweg 51/43, 22627 Ahrensburg",Ahrensburg,22627,53.58095,9.819853,53.580951,9.819853,Musäusstraße,6557816495.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,3.475,58.0,3.7066666666666666,127.36333333333334,True,22084.4,35.14,8,43.14,120+ min,50.0,182.5064,5,5,5,32.0,32.0,32.0,Musäusstraße,6557816495.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,58.0,3.7066666666666666,55.0,3.475,65.18166666666667,62.181666666666665
EMP050,Dipl.-Ing. Elena Finke B.Sc.,"Willibald-Schmidt-Gasse 46-79, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,160.5533333333333,True,31773.1,44.836666666666666,8,52.836666666666666,120+ min,30.0,240.6386,5,5,5,20.0,20.0,20.0,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,72.0,3.7066666666666666,72.0,4.569999999999999,80.27666666666666,80.27666666666666
EMP051,Herr Herbert Eimer MBA.,"Leyla-Löffler-Platz 187, 22627 Ahrensburg",Ahrensburg,22627,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,5,5,5,,,,,,,,,,,,,,,
